,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
513,Pee Wee Russell,0.533,0.728,6,-7.092,1,0.115,0.429,0.00834,0.714,0.558,102.026,524680,4,46.86559,20,0
8805,Jeezy,0.595,0.641,4,-5.928,0,0.129,0.292,0.0,0.576,0.674,140.329,152520,4,83.24398,5,0
9552,Cattle Decapitation,0.291,0.979,5,-3.877,1,0.153,5.64e-06,0.792,0.268,0.15,122.071,299432,4,55.19654,11,0
10166,Sahlene Williams,0.188,0.0259,11,-23.169,1,0.0369,0.967,0.957,0.103,0.0625,78.517,185880,4,63.77321,9,0
555,(+44),0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032,192787,4,45.72748,8,1
7859,Eric Church,0.576,0.355,1,-8.388,1,0.033,0.439,4.55e-05,0.13,0.299,137.232,198733,4,31.09578,9,1
2939,Lee Ann Womack,0.335,0.584,6,-7.089,1,0.0341,0.794,0.000195,0.0869,0.332,78.509,195467,4,21.46473,7,1
8127,YoungBoy Never Broke Again,0.732,0.683,7,-6.477,1,0.29,0.0567,0.0,0.149,0.583,160.002,192012,4,24.01766,11,1
56,Baha Men,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,198400,4,29.40143,10,1
10706,Project 86,0.481,0.609,9,-7.57,0,0.0317,0.000701,0.00435,0.0967,0.198,119.758,311360,4,34.21364,14,0
3887,LOVE PSYCHEDELICO,0.685,0.741,4,-4.914,0,0.027,0.615,2.4e-05,0.152,0.542,88.958,346507,4,84.80801,14,0
11018,Jakob Bro,0.394,0.0831,11,-29.198,1,0.0342,0.912,0.945,0.691,0.298,96.425,316133,4,36.70095,12,0
3759,Bombay Sisters,0.325,0.547,5,-13.568,1,0.0845,0.541,0.000805,0.331,0.564,80.962,407187,4,52.03505,21,0
10102,Hans Zimmer,0.17,0.0277,5,-35.251,1,0.0652,0.0527,0.957,0.269,0.0298,80.425,235838,3,25.77382,9,0
8292,Craft,0.363,0.945,5,-5.476,0,0.0582,3.43e-06,0.778,0.349,0.149,138.046,387200,4,20.72753,14,0
4319,Tame Impala,0.53,0.83,2,-8.972,1,0.0579,0.213,0.288,0.109,0.293,103.956,286840,4,30.14073,11,0
6076,Pöbel MC,0.795,0.877,6,-6.121,1,0.314,0.16,0.0,0.111,0.51,100.023,206572,4,20.06604,10,0
2931,Jason Aldean,0.547,0.485,7,-5.368,1,0.0292,0.467,0.0,0.0736,0.243,145.057,202520,4,21.08091,13,1
5771,Amerie,0.744,0.406,8,-6.378,0,0.0722,0.113,0.0,0.0316,0.725,89.942,234707,4,24.82177,11,1
11451,Martin Garrix & Dua Lipa,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,4,21.38162,12,1
10429,Juice WRLD & YoungBoy Never Broke Again,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4,44.68605,10,1
3471,Bow Wow & Omarion,0.725,0.795,7,-5.291,1,0.214,0.114,0.0,0.258,0.85,75.03,284827,4,77.76711,10,1
7484,Wolfpack,0.504,0.845,7,-5.399,1,0.0516,1.35e-05,0.867,0.272,0.353,130.091,63267,3,34.08351,4,0
4052,Blaine Larsen,0.594,0.506,5,-5.487,1,0.0267,0.446,0.0,0.0616,0.268,135.809,248533,4,45.6971,14,1
6630,Quavo,0.79,0.629,8,-4.055,1,0.142,0.182,7.06e-06,0.338,0.267,170.023,169620,4,40.34418,9,1
8186,Barren Cross,0.361,0.905,5,-3.802,1,0.0406,0.0128,0.0,0.0994,0.343,74.69,252747,4,67.944,10,0
6457,Nuit Noire,0.112,0.991,11,-5.902,0,0.074,0.823,0.992,0.925,0.037,79.554,492067,4,16.39439,18,0
9480,Tyler Farr,0.487,0.667,7,-4.216,0,0.0309,0.153,0.0,0.161,0.463,145.854,216040,4,40.03906,13,1
1003,Nocturnal,0.328,0.998,6,-6.276,0,0.117,6.68e-05,0.00381,0.0381,0.033,103.28,225187,4,42.31479,8,0
9443,Sage The Gemini Featuring Nick Jonas,0.56,0.719,4,-6.243,0,0.109,0.0166,0.0,0.11,0.21,94.026,227120,4,37.08068,9,1
